StudentID,AttendanceDaysPossible,AbsentDays,UnexcusedAbsentDays,ExcusedAbsentDays,SegmentAttendanceRate
7581124,180,20,4.17,15.83,0.889
3237447,,,,,
3237447,8,0,0,0,1
3237447,,,,,
3237447,48,0,0,0,1
6840444,180,5,2.33,2.67,0.972
7713170,177,57.68,46.24,11.44,0.674
7713170,3,0.13,0.13,0,0.957
3614788,180,0.83,0.83,0,0.995
3687443,,,,,
3687443,40,0,0,0,1
7963699,179,39,38,1,0.782
7963699,,,,,
7981395,,,,,
7981395,180,3,3,0,0.983
7015129,180,3.17,1.17,2,0.982
6087755,180,8.02,4.08,3.93,0.955
7651809,180,24.33,0.17,24.17,0.865
6697701,180,10.17,1.5,8.67,0.944
7952987,180,33.5,31,2.5,0.814
3941447,,,,,
3941447,89,1,0,1,0.989
6404472,177,0,0,0,1
7315907,10,0.83,0.83,0,0.917
7315907,,,,,
7315907,168,45.33,40,5.33,0.73
7477295,136,30.39,17.35,13.04,0.777
7477295,44,5,0,5,0.886
3724411,165,2,0,2,0.988
3724411,9,0,0,0,1
3724411,3,0,0,0,1
3158418,177,0,0,0,1
3729447,176,0,0,0,1
3326788,,,,,
3326788,177,0,0,0,1
6321709,177,72,11,61,0.593
6662423,177,4,0,4,0.977
3386417,,,,,
3386417,76,0,0,0,1
3386417,,,,,
3665795,177,5,0,5,0.972
3185715,177,19,6,13,0.893
3898418,174,27,5,22,0.845
3898418,3,0,0,0,1
3490793,180,8.83,3.83,5,0.951
3327788,180,4.17,1.67,2.5,0.977
3492419,177,6,1,5,0.966
7988805,180,62.25,61.25,1,0.654
3138745,179,4.67,2.67,2,0.974
7552826,177,3.53,0,3.53,0.98
7980898,180,0,0,0,1
3867413,174,11,0,11,0.937
3867413,3,0,0,0,1
3043732,130,3,0,3,0.977
3043732,47,0,0,0,1
6033748,,,,,
6033748,91,2.33,2.33,0,0.974
7722980,180,11.5,11.5,0,0.936
7070087,,,,,
7070087,180,37.5,36.5,1,0.792
7600875,177,1,0,1,0.994
3232413,177,3,0,3,0.983
3917447,174,5,0,5,0.971
3917447,3,0,0,0,1
3544411,180,3.83,3.5,0.33,0.979
6124484,180,7,0,7,0.961
7946393,48,41,41,0,0.146
7946393,96,68,60,8,0.292
7946393,,,,,
7946393,35,20,20,0,0.429
6207466,177,0,0,0,1
7830811,180,0.33,0.33,0,0.998
6252476,177,1,0,1,0.994
3448796,177,3,0,3,0.983
3042715,177,1,0,1,0.994
7107374,177,16,0,16,0.91
3343419,177,0,0,0,1
7102360,180,1,0,1,0.994
3782796,177,8,1,7,0.955
7670828,177,0,0,0,1
3248447,45,2,2,0,0.956
3248447,129,11,0,11,0.915
7813869,180,3,0,3,0.983
7591328,177,6,0,6,0.966
7833168,180,1.67,0,1.67,0.991
3042789,177,2,0,2,0.989
6253466,180,7.5,0,7.5,0.958
6906748,180,26,3,23,0.856
7248949,180,6.83,2.5,4.33,0.962
7247664,180,0.17,0.17,0,0.999
7767882,180,4.33,0,4.33,0.976
3383413,177,27,16,11,0.847
3350416,177,3,1,2,0.983
3429749,177,6,1,5,0.966
7282906,180,1.37,1.37,0,0.992
3844418,174,2,1,1,0.989
3844418,3,0,0,0,1
3094732,177,4,0,4,0.977
3980442,,,,,
3980442,180,24.5,20.33,6.17,0.864
3980442,,,,,
3716411,180,0.83,0.83,0,0.995
7902890,177,41.5,17.83,23.67,0.766
3444796,177,27,13,14,0.847
6729796,177,2,0,2,0.989
3212751,177,0,0,0,1
3881412,177,7,4,3,0.96
3058714,177,8,0,8,0.955
3678744,177,1,1,0,0.994
3365796,180,5.02,5.02,0,0.972
6828475,177,22.5,0,22.5,0.873
3538417,180,30.33,6.17,24.17,0.832
6774713,180,3,0,3,0.983
6148594,177,12,10,2,0.932
3824746,177,9,1,8,0.949
7278305,,,,,
7278305,,,,,
7278305,100,4.17,0,4.17,0.958
6440517,,,,,
6440517,180,21.48,15.62,5.87,0.881
6955747,180,1,0,1,0.994
3898751,177,22,0,22,0.876
3853780,177,16,4,12,0.91
3894758,177,5,0,5,0.972
7171374,180,6,0,6,0.967
6552486,177,13.5,10,3.5,0.924
6500583,177,6,0,6,0.966
7768019,,,,,
7768019,180,0,0,0,1
7140362,180,2.17,1,1.17,0.988
7969302,177,25.33,0,25.33,0.857
3044789,180,4,2,2,0.978
7018116,180,17.5,12.33,5.17,0.903
3695757,177,8,0,8,0.955
3290411,118,7.65,5.45,2.2,0.935
3290411,62,7.83,4.5,3.33,0.874
3440786,177,5,4,1,0.972
3869780,177,6,1,5,0.966
3117414,174,19,0,19,0.891
3117414,3,0,0,0,1
6584462,177,6,5,1,0.966
6738725,177,13.5,0,13.5,0.924
6095715,173,25,3,22,0.855
6095715,4,0,0,0,1
7889941,180,0,0,0,1
3623749,177,1,0,1,0.994
7796119,180,4.83,1.17,3.67,0.973
6651764,180,5.67,0.33,5.33,0.969
3270412,,,,,
3270412,63,36.1,31.93,4.17,0.427
7565245,,,,,
7565245,180,6.33,6.33,0,0.965
3502780,177,18,5,13,0.898
3625449,180,4.5,0.67,3.83,0.975
7657380,180,6.5,4.67,1.83,0.964
7116230,,,,,
7116230,180,4.87,3.87,1,0.973
7694925,180,4,1.83,2.17,0.978
7258827,177,1,0,1,0.994
7280139,180,38.33,18.33,20,0.787
7637972,180,46.33,44.33,2,0.743
7730681,84,9.5,3,6.5,0.887
7000929,180,15.5,2,13.5,0.914
6704781,177,1.5,0.5,1,0.992
3984756,177,1,0,1,0.994
7479943,180,1.17,1.17,0,0.994
6392587,177,7,5,2,0.96
6102764,177,1,0,1,0.994
7147829,180,3.17,0,3.17,0.982
6983497,177,18,7,11,0.898
3930716,177,6,0,6,0.966
7585996,180,22.5,11.5,11,0.875
3613791,177,4,0,4,0.977
7019385,180,11.33,4,7.33,0.937
3764798,,,,,
3764798,161,15,8,7,0.907
3764798,,,,,
3764798,,,,,
7400328,180,0,0,0,1
6362758,177,14.5,7.83,6.67,0.918
7353893,180,4.33,1,3.33,0.976
7359643,180,16.33,6.67,9.67,0.909
3960410,177,5,0,5,0.972
7443355,,,,,
7443355,36,22.86,9.29,13.57,0.365
6309510,151,17,14,3,0.887
6309510,3,0,0,0,1
6309510,,,,,
6309510,21,2.67,0.67,2,0.873
3094411,174,0,0,0,1
3094411,3,0,0,0,1
3681737,177,4,0,4,0.977
3729414,174,2,0,2,0.989
3729414,3,0,0,0,1
3947417,180,22.83,18,4.83,0.873
7805622,180,9.33,1.33,8,0.948
3337782,177,8,3,5,0.955
7656195,180,8.5,0,8.5,0.953
3864419,180,8.17,7,1.17,0.955
7761281,,,,,
7761281,180,10.83,3.83,7,0.94
3600713,180,5,5,0,0.972
7401094,180,34,31,3,0.811
3725413,177,7,1,6,0.96
7877596,,,,,
7877596,72,62.98,49.09,13.89,0.125
7877596,2,0,0,0,1
7877596,30,0,0,0,1
3389413,177,24,15,9,0.864
7750333,,,,,
7750333,180,0,0,0,1
6933475,177,0,0,0,1
7841126,180,1.17,0.17,1,0.994
6129559,180,88.22,79.24,8.98,0.51
7592642,180,1.67,0.5,1.17,0.991
7552628,180,1.33,0.17,1.17,0.993
3226755,177,1,0,1,0.994
7822968,,,,,
7822968,180,14.83,12.83,2,0.918
7127814,177,0,0,0,1
6858532,180,0,0,0,1
7266285,,,,,
7266285,180,25.25,9.25,16,0.86
3624449,180,4.17,1.33,2.83,0.977
7326142,180,3.67,3.67,0,0.98
7769346,180,0,0,0,1
7328961,180,5.17,4.83,0.33,0.971
3780757,177,3,0,3,0.983
3604741,177,2,0,2,0.989
6533772,180,8.83,3.17,5.67,0.951
7804963,180,0.83,0.5,0.33,0.995
6398510,177,0,0,0,1
3807419,33,7,3,4,0.788
3807419,144,48,28,20,0.667
3389751,177,1,0,1,0.994
6461743,180,7.57,2.83,4.73,0.958
3329419,,,,,
3329419,180,62,61,1,0.656
6402582,162,4,0,4,0.975
